1000Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
9.771440e-04,-1.683966e-01,-2.871918e-06,1.000000e+03,0,1,0,1
9.773425e-04,-6.646628e-02,-1.133787e-06,1.000000e+03,1,2,1,2
9.766801e-04,-1.646315e-01,-2.806362e-06,1.000000e+03,2,3,2,3
9.771170e-04,-4.072858e-01,-6.945932e-06,1.000000e+03,3,4,3,4
9.769620e-04,-2.327250e-01,-3.968279e-06,1.000000e+03,4,5,4,5
9.761955e-04,-3.285901e-01,-5.598521e-06,1.000000e+03,5,6,5,6
9.777858e-04,-3.322853e-01,-5.670724e-06,1.000000e+03,6,7,6,7
9.770086e-04,-1.958369e-01,-3.339450e-06,1.000000e+03,7,8,7,8
9.766421e-04,-3.249565e-01,-5.539139e-06,1.000000e+03,8,9,8,9
9.785468e-04,-3.350174e-01,-5.721785e-06,1.000000e+03,9,10,9,10
9.758720e-04,-2.331741e-01,-3.971497e-06,1.000000e+03,10,11,10,11
9.787322e-04,-3.185566e-01,-5.441682e-06,1.000000e+03,11,12,11,12
9.797916e-04,-3.000673e-02,-5.131089e-07,1.000000e+03,12,13,12,13
9.770793e-04,-1.190775e-01,-2.030682e-06,1.000000e+03,13,14,13,14
9.788623e-04,-2.535520e-01,-4.331818e-06,1.000000e+03,14,15,14,15
9.823935e-04,-1.599630e-02,-2.742549e-07,1.000000e+03,15,16,15,16
9.727261e-04,3.997197e-02,6.786437e-07,1.000000e+03,16,17,16,17
9.799639e-04,-4.397583e-01,-7.521609e-06,1.000000e+03,17,18,17,18
9.816051e-04,-7.646397e-02,-1.310017e-06,1.000000e+03,18,19,18,19
9.770307e-04,-1.034944e-02,-1.764607e-07,1.000000e+03,19,20,19,20
9.786985e-04,-1.795930e-01,-3.067748e-06,1.000000e+03,20,21,20,21
9.774106e-04,-5.905040e-02,-1.007350e-06,1.000000e+03,21,22,21,22
9.782569e-04,-1.605282e-01,-2.740854e-06,1.000000e+03,22,23,22,23
9.803977e-04,-1.141990e-01,-1.954095e-06,1.000000e+03,23,24,23,24
9.789903e-04,-5.419242e-02,-9.259667e-07,1.000000e+03,24,25,24,25
9.783374e-04,-2.367890e-01,-4.043241e-06,1.000000e+03,25,26,25,26
9.789725e-04,-5.628417e-02,-9.617083e-07,1.000000e+03,26,27,26,27
9.766407e-04,-1.723359e-01,-2.937586e-06,1.000000e+03,27,28,27,28
9.792652e-04,-1.491560e-01,-2.549306e-06,1.000000e+03,28,29,28,29
9.791529e-04,-1.203923e-01,-2.057461e-06,1.000000e+03,29,30,29,30
9.793590e-04,-1.504144e-01,-2.571065e-06,1.000000e+03,30,31,30,31
9.769999e-04,-1.675701e-01,-2.857395e-06,1.000000e+03,31,0,31,0
